student_id,module_code,programme,attendance_pct,formative_avg,missed_submissions,moodle_logins_per_week,quiz_avg,prev_module_avg,assignment_completion_pct,risk_level
BC000311,PRG381,DipICT,35.2,63.2,4,3.1,55.2,45.4,53.9,high
BC000312,MAT371,BICT-Hons,75.3,48.6,4,3.7,77.8,72.6,60.4,high
BC000313,MAT371,DipICT,64.6,23.4,2,4.8,51.8,37.3,62.4,high
BC000314,DBS371,BICT,84.0,85.9,1,6.2,70.5,71.2,78.3,low
BC000315,AIN371,BICT-Hons,62.0,37.8,3,6.7,88.0,65.3,71.7,moderate
BC000316,NWD371,BICT-Hons,57.1,38.5,3,5.0,41.7,79.6,53.4,high
BC000317,PRG381,DipICT,100.0,100.0,2,8.8,61.5,100.0,100.0,low
BC000318,MAT371,BICT,51.6,47.0,2,6.2,66.0,45.1,65.0,moderate
BC000319,MAT371,DipICT,50.0,70.3,6,4.4,50.4,40.1,61.0,high
BC000320,MAT371,BICT-Hons,31.1,68.1,5,6.5,42.5,62.0,55.4,high
BC000321,DBS371,BICT,83.5,71.1,0,4.4,71.4,74.5,86.4,low
BC000322,AIN371,DipICT,48.5,62.6,1,5.5,65.8,68.8,76.1,moderate
BC000323,MAT371,DipICT,87.0,100.0,0,8.0,83.4,100.0,100.0,low
BC000324,PRG381,DipICT,59.5,75.0,2,5.6,40.8,53.1,89.8,moderate
BC000325,AIN371,BICT,54.8,45.3,0,3.4,49.9,53.1,75.7,moderate
BC000326,DBS371,BICT,77.2,70.1,1,5.9,72.0,64.6,73.3,low
BC000327,AIN371,DipICT,74.8,79.0,2,8.5,69.2,76.8,80.0,moderate
BC000328,DBS371,BICT,100.0,70.3,1,5.3,92.6,67.4,78.8,low
BC000329,PRG381,BICT-Hons,52.0,78.6,2,1.8,53.3,36.0,41.1,high
BC000330,PRG381,DipICT,60.6,58.8,2,4.2,68.5,65.2,75.5,moderate
BC000331,PRG381,BICT,89.2,91.9,1,3.9,81.3,85.4,97.8,low
BC000332,NWD371,BICT-Hons,76.0,45.5,1,4.1,86.5,93.8,67.7,moderate
BC000333,DBS371,DipICT,90.8,85.0,0,6.9,98.1,74.0,98.0,low
BC000334,AIN371,BICT-Hons,82.0,73.1,1,7.1,87.4,46.1,77.3,low
BC000335,MAT371,DipICT,79.3,66.8,2,5.1,58.5,70.3,80.9,moderate
BC000336,MAT371,BICT-Hons,99.2,78.5,0,6.0,73.1,89.6,89.7,low
BC000337,MAT371,BICT-Hons,81.2,48.0,1,4.8,55.0,48.8,55.3,moderate
BC000338,NWD371,BICT,72.2,89.6,1,5.1,96.3,74.1,63.6,low
BC000339,MAT371,DipICT,45.5,46.0,1,3.7,36.4,49.4,40.5,high
BC000340,NWD371,BICT,74.1,74.3,1,8.1,94.0,89.9,87.4,low
BC000341,NWD371,BICT,55.6,30.1,2,2.8,61.1,49.7,66.2,high
BC000342,AIN371,DipICT,50.3,46.6,2,0.0,33.6,57.8,42.3,high
BC000343,AIN371,BICT,64.3,64.4,1,4.2,31.4,84.8,47.5,moderate
BC000344,PRG381,BICT,63.8,76.5,1,0.0,36.4,38.8,44.0,high
BC000345,NWD371,BICT,71.1,54.4,1,7.6,77.1,52.8,63.5,moderate
BC000346,PRG381,BICT-Hons,85.5,91.7,2,7.3,74.2,94.1,85.5,low
BC000347,DBS371,BICT,81.4,85.3,2,5.6,64.4,59.2,99.8,moderate
BC000348,AIN371,BICT-Hons,46.4,54.8,2,8.1,79.8,71.6,68.8,moderate
BC000349,NWD371,BICT,42.5,41.4,1,4.6,50.1,70.5,51.4,moderate
BC000350,NWD371,BICT-Hons,75.1,72.0,0,4.6,53.5,44.8,61.1,moderate
BC000351,MAT371,DipICT,91.0,58.9,2,4.6,76.4,63.5,89.7,moderate
BC000352,MAT371,BICT,54.2,58.7,4,4.8,32.3,60.2,57.8,high
BC000353,PRG381,BICT,97.9,89.3,0,9.5,83.7,90.9,100.0,low
BC000354,MAT371,DipICT,36.2,28.4,5,4.7,46.6,33.2,51.5,high
BC000355,MAT371,BICT-Hons,57.5,55.9,0,4.5,32.8,43.1,61.1,moderate
BC000356,DBS371,BICT-Hons,68.1,74.8,1,4.1,66.8,66.9,79.0,moderate
BC000357,AIN371,BICT-Hons,71.5,78.4,1,5.7,65.9,53.6,70.8,moderate
BC000358,NWD371,BICT-Hons,64.8,59.5,4,4.4,52.1,75.0,78.3,high
BC000359,NWD371,BICT-Hons,85.2,68.9,1,8.2,100.0,81.1,80.7,low
BC000360,AIN371,DipICT,50.1,50.0,2,3.6,25.4,60.7,43.0,high
BC000361,PRG381,BICT-Hons,100.0,84.6,0,8.1,72.8,90.7,84.1,low
BC000362,MAT371,BICT-Hons,76.1,69.3,1,4.6,81.3,88.6,86.7,low
BC000363,DBS371,DipICT,55.1,76.0,0,5.8,57.9,49.2,63.7,moderate
BC000364,PRG381,BICT,58.5,47.8,5,4.3,72.8,48.5,40.5,high
BC000365,DBS371,BICT-Hons,65.6,61.0,0,6.6,85.0,83.3,83.2,low
BC000366,DBS371,DipICT,61.9,69.8,0,3.8,56.7,71.9,86.0,moderate
BC000367,DBS371,DipICT,62.2,51.1,0,6.3,67.5,40.9,66.2,high
BC000368,PRG381,DipICT,100.0,100.0,0,9.2,92.6,91.6,100.0,low
BC000369,MAT371,DipICT,66.6,91.5,1,2.9,44.1,77.5,73.6,moderate
BC000370,DBS371,BICT,100.0,93.2,0,9.8,100.0,92.7,100.0,low
BC000371,DBS371,DipICT,66.6,82.3,4,6.3,100.0,48.7,64.1,moderate
BC000372,MAT371,BICT,91.2,100.0,0,9.3,78.8,100.0,100.0,high
BC000373,AIN371,DipICT,76.5,64.3,0,3.1,49.8,51.2,64.3,moderate
BC000374,MAT371,DipICT,79.2,59.4,0,5.2,59.6,74.0,57.9,low
BC000375,NWD371,BICT,57.3,60.1,4,5.0,27.2,33.2,40.0,high
BC000376,PRG381,DipICT,52.0,47.1,0,8.9,64.4,57.6,77.9,moderate
BC000377,DBS371,BICT,72.5,20.0,2,7.6,38.3,42.5,57.3,high
BC000378,DBS371,DipICT,36.0,59.3,2,2.1,60.2,39.1,45.0,high
BC000379,DBS371,BICT-Hons,61.2,56.1,0,8.9,57.5,27.5,67.3,moderate
BC000380,PRG381,BICT,78.5,70.2,1,4.8,55.2,100.0,71.4,low
BC000381,PRG381,BICT-Hons,60.5,60.6,2,2.0,87.6,52.4,90.0,moderate
BC000382,PRG381,DipICT,59.0,45.6,2,6.6,48.1,46.4,54.6,high
BC000383,AIN371,BICT-Hons,41.1,38.4,2,0.0,15.0,25.0,47.6,high
BC000384,DBS371,DipICT,100.0,99.1,0,6.7,62.9,100.0,100.0,low
BC000385,PRG381,DipICT,62.4,67.8,1,8.1,44.4,57.9,82.7,moderate
BC000386,MAT371,BICT,100.0,100.0,0,9.3,86.2,90.8,100.0,low
BC000387,NWD371,BICT-Hons,88.1,52.7,3,4.7,51.6,52.5,75.3,moderate
BC000388,PRG381,BICT,92.2,100.0,0,7.8,84.5,67.8,100.0,low
BC000389,PRG381,BICT,56.7,41.6,0,5.1,55.5,70.0,73.3,moderate
BC000390,DBS371,BICT-Hons,47.5,64.8,2,1.6,50.9,34.7,67.9,high
BC000391,NWD371,BICT,100.0,87.7,1,5.9,95.0,67.7,100.0,low
BC000392,MAT371,BICT-Hons,58.9,49.1,2,3.6,28.4,53.7,62.7,high
BC000393,NWD371,DipICT,59.1,64.0,2,3.8,70.8,67.4,68.9,moderate
BC000394,AIN371,DipICT,61.3,42.2,0,6.2,40.9,58.9,63.3,moderate
BC000395,NWD371,BICT,78.4,70.3,3,9.3,54.2,76.0,75.6,moderate
BC000396,NWD371,BICT,47.3,58.5,5,6.7,34.0,63.5,55.0,high
BC000397,NWD371,BICT-Hons,43.9,58.4,1,6.7,37.1,51.0,67.4,moderate
BC000398,NWD371,BICT-Hons,44.8,45.9,0,4.8,58.6,73.1,56.8,moderate
BC000399,PRG381,BICT-Hons,76.6,67.2,1,1.5,51.3,58.8,53.3,moderate
BC000400,PRG381,BICT,93.1,79.2,2,6.3,37.3,90.3,84.7,moderate
BC000401,AIN371,BICT-Hons,51.6,59.9,1,5.3,57.8,64.3,50.3,moderate
BC000402,NWD371,DipICT,70.9,79.1,0,7.2,73.2,37.8,84.5,low
BC000403,AIN371,DipICT,61.9,50.1,3,5.2,62.1,55.9,50.5,high
BC000404,PRG381,DipICT,77.2,87.6,1,5.8,79.5,82.5,99.4,low
BC000405,PRG381,BICT,77.5,83.9,1,6.7,70.6,58.0,73.6,low
BC000406,AIN371,DipICT,81.7,75.4,1,6.7,59.4,91.7,72.7,low
BC000407,NWD371,BICT,94.8,85.5,1,2.3,78.8,100.0,100.0,low
BC000408,AIN371,BICT-Hons,81.2,91.8,1,7.1,53.9,53.6,56.4,moderate
BC000409,NWD371,DipICT,56.1,30.5,3,7.0,36.4,57.9,55.1,high
BC000410,DBS371,BICT,59.9,66.5,2,6.2,55.3,65.9,71.3,moderate
BC000411,NWD371,DipICT,49.3,33.0,2,9.7,64.2,71.3,71.6,moderate
BC000412,NWD371,BICT,30.0,34.4,0,2.8,40.8,31.2,42.6,high
BC000413,AIN371,BICT-Hons,95.4,80.5,0,6.1,77.0,73.8,82.2,low
BC000414,MAT371,BICT-Hons,90.1,85.3,1,7.5,87.9,80.5,100.0,low
BC000415,AIN371,BICT-Hons,40.9,61.4,3,3.2,61.8,62.8,60.0,high
BC000416,DBS371,BICT-Hons,80.9,68.4,1,5.0,17.6,45.4,63.7,moderate
BC000417,PRG381,DipICT,83.1,67.1,0,6.2,76.9,78.4,100.0,low
BC000418,NWD371,DipICT,60.6,77.5,2,5.2,60.6,64.0,71.1,moderate
BC000419,MAT371,BICT,38.9,22.1,3,7.4,35.6,48.6,63.1,high
BC000420,NWD371,BICT-Hons,100.0,71.9,2,3.7,78.5,49.7,91.7,moderate
BC000421,MAT371,DipICT,93.5,100.0,0,9.1,78.5,76.9,99.9,low
BC000422,MAT371,BICT,78.2,87.8,2,7.0,100.0,90.4,74.2,low
BC000423,AIN371,BICT-Hons,82.3,51.2,4,5.3,67.6,63.4,81.3,moderate
BC000424,MAT371,BICT,92.4,86.7,0,8.0,86.6,94.4,100.0,low
BC000425,AIN371,BICT-Hons,96.4,100.0,1,6.4,100.0,86.2,100.0,low
BC000426,DBS371,BICT,81.7,34.9,1,2.9,47.8,41.9,62.0,moderate
BC000427,AIN371,BICT,92.8,85.6,0,3.8,65.2,82.5,99.7,moderate
BC000428,MAT371,BICT,66.5,62.6,2,7.9,43.3,57.6,68.1,moderate
BC000429,NWD371,BICT-Hons,86.9,81.0,0,6.3,59.2,69.9,100.0,low
BC000430,AIN371,BICT-Hons,56.5,50.9,0,4.8,76.9,74.6,80.9,moderate
BC000431,PRG381,BICT,66.5,65.2,2,8.9,63.8,83.2,82.7,moderate
BC000432,PRG381,BICT,47.2,51.2,2,3.5,22.4,53.3,60.8,high
BC000433,MAT371,BICT,98.0,70.1,0,6.8,70.5,89.6,95.2,low
BC000434,MAT371,BICT,50.8,65.8,1,4.9,74.3,68.8,61.4,moderate
BC000435,NWD371,BICT-Hons,91.8,100.0,0,8.3,68.1,100.0,96.3,low
BC000436,PRG381,BICT,53.8,78.6,0,6.5,59.1,65.7,69.3,low
BC000437,DBS371,BICT-Hons,95.0,85.4,0,9.4,72.0,84.8,75.6,low
BC000438,PRG381,BICT,45.7,74.7,0,4.2,71.3,69.3,69.3,moderate
BC000439,DBS371,DipICT,50.5,54.2,2,6.9,20.3,53.5,60.7,high
BC000440,MAT371,DipICT,78.4,90.1,0,3.4,100.0,64.6,94.1,low
BC000441,PRG381,BICT-Hons,72.5,35.7,2,5.7,68.6,53.5,73.4,moderate
BC000442,DBS371,BICT,62.5,51.4,1,1.9,36.7,66.2,61.0,moderate
BC000443,PRG381,BICT,34.0,69.4,0,3.0,30.8,39.8,42.0,moderate
BC000444,DBS371,DipICT,81.6,66.8,1,6.5,76.2,91.3,70.5,low
BC000445,DBS371,DipICT,88.1,98.0,1,5.4,59.3,70.3,91.8,low
BC000446,DBS371,DipICT,30.0,57.1,1,1.1,34.8,50.1,50.1,low
BC000447,PRG381,BICT,59.4,53.8,2,4.6,37.4,63.7,52.3,moderate
BC000448,PRG381,BICT-Hons,49.9,82.8,1,4.9,66.7,93.3,75.6,moderate
BC000449,PRG381,DipICT,77.1,83.1,0,4.0,59.9,72.4,77.0,high
BC000450,AIN371,BICT-Hons,41.8,82.4,3,5.5,47.7,66.9,85.1,moderate
BC000451,DBS371,BICT,76.1,66.4,0,4.4,38.2,62.5,56.0,moderate
BC000452,NWD371,DipICT,64.4,62.3,0,8.5,66.8,71.8,68.2,low
BC000453,PRG381,BICT-Hons,55.5,63.0,1,8.6,70.8,84.0,78.2,moderate
BC000454,PRG381,DipICT,70.3,46.0,1,6.3,68.2,58.2,77.9,moderate
BC000455,NWD371,BICT-Hons,75.7,34.2,6,4.9,72.3,65.7,57.0,high
BC000456,MAT371,DipICT,35.2,54.9,1,5.0,40.9,47.3,44.7,moderate
BC000457,PRG381,DipICT,100.0,97.2,0,6.3,100.0,96.2,100.0,low
BC000458,DBS371,DipICT,52.0,53.9,3,5.0,60.0,55.0,64.1,high
BC000459,PRG381,BICT-Hons,81.6,80.7,0,7.9,70.6,58.6,74.7,low
BC000460,AIN371,DipICT,51.6,41.2,3,4.0,37.5,62.4,73.2,high
BC000461,MAT371,DipICT,69.5,62.1,2,7.9,44.4,89.3,85.0,moderate
BC000462,PRG381,DipICT,67.4,70.9,3,9.6,54.6,62.9,64.9,moderate
BC000463,AIN371,BICT-Hons,77.4,52.4,2,5.5,100.0,74.9,73.5,moderate
BC000464,MAT371,BICT,100.0,100.0,0,4.7,89.7,71.5,79.5,low
BC000465,MAT371,BICT,89.5,86.0,1,3.5,49.5,87.4,79.0,low
BC000466,PRG381,BICT,67.8,46.5,1,3.7,47.0,79.4,48.5,moderate
BC000467,AIN371,BICT,87.2,83.9,0,5.0,87.7,99.9,91.4,low
BC000468,NWD371,DipICT,100.0,100.0,0,7.0,97.9,100.0,100.0,low
BC000469,NWD371,BICT-Hons,99.1,100.0,0,6.9,72.8,96.0,95.0,low
BC000470,NWD371,BICT,75.3,72.0,4,7.4,49.5,64.5,72.0,moderate
BC000471,AIN371,BICT-Hons,90.6,100.0,0,8.7,97.5,99.0,100.0,low
BC000472,MAT371,BICT-Hons,92.6,81.3,2,6.7,47.7,76.0,78.3,moderate
BC000473,NWD371,BICT,77.2,64.7,1,4.4,69.5,83.0,61.2,moderate
BC000474,NWD371,DipICT,62.0,64.9,2,9.2,52.8,84.8,71.0,moderate
BC000475,NWD371,BICT,73.8,60.9,1,5.8,62.5,66.6,87.5,moderate
BC000476,DBS371,BICT-Hons,64.5,76.4,0,2.1,48.5,43.8,60.3,moderate
BC000477,DBS371,DipICT,35.8,44.7,2,4.6,53.0,25.0,60.6,high
BC000478,DBS371,BICT,50.2,48.5,2,1.6,48.7,54.5,66.0,high
BC000479,DBS371,BICT,70.7,94.0,0,6.6,66.7,96.7,81.4,low
BC000480,MAT371,DipICT,73.2,66.1,0,8.3,100.0,57.6,86.9,low
BC000481,NWD371,BICT,47.8,42.7,1,5.2,47.8,35.0,66.2,moderate
BC000482,AIN371,BICT,40.2,53.9,2,2.8,74.2,42.0,55.1,high
BC000483,PRG381,BICT,96.6,96.7,1,4.9,79.3,72.4,97.0,low
BC000484,DBS371,BICT-Hons,86.7,66.4,2,6.4,53.8,60.0,84.9,moderate
BC000485,AIN371,BICT-Hons,73.7,75.3,0,7.9,82.4,98.0,76.0,low
BC000486,DBS371,BICT,37.9,58.3,3,6.3,67.6,52.0,64.3,high
BC000487,AIN371,BICT,59.8,40.6,0,2.0,53.1,59.0,65.9,moderate
BC000488,PRG381,BICT,71.1,75.9,0,6.2,82.5,100.0,100.0,low
BC000489,PRG381,BICT,69.9,86.5,0,3.4,77.5,77.2,80.3,low
BC000490,AIN371,BICT-Hons,78.6,76.5,2,1.8,78.5,59.6,83.5,moderate
BC000491,NWD371,BICT-Hons,51.2,70.3,2,1.9,53.3,45.0,60.5,high
BC000492,AIN371,BICT-Hons,75.4,74.4,3,10.6,70.3,51.6,67.7,moderate
BC000493,NWD371,DipICT,50.3,49.5,3,6.2,42.7,51.7,50.1,high
BC000494,MAT371,DipICT,81.7,91.8,0,4.8,69.9,64.0,86.6,low
BC000495,NWD371,BICT-Hons,73.0,79.1,2,5.1,53.7,69.5,70.7,moderate
BC000496,NWD371,BICT-Hons,84.0,73.3,3,7.1,83.5,66.2,75.7,moderate
BC000497,NWD371,BICT,62.9,57.7,1,10.0,58.6,67.1,50.3,moderate
BC000498,AIN371,DipICT,30.0,80.5,1,9.0,32.0,82.3,78.9,moderate
BC000499,PRG381,BICT,91.6,90.5,1,8.2,100.0,95.8,70.4,low
BC000500,NWD371,BICT-Hons,46.6,46.6,4,0.0,33.8,41.2,50.8,high
